size,cores,time
1000,1,1.623309
1000,1,1.621904
1000,1,1.618828
1000,1,1.622619
1000,1,1.624898
1000,2,1.638765
1000,2,1.650050
1000,2,1.641077
1000,2,1.638990
1000,2,1.628268
1000,3,1.647200
1000,3,1.643772
1000,3,1.802589
1000,3,1.668519
1000,3,1.657911
1000,4,1.638705
1000,4,1.662446
1000,4,1.651320
1000,4,1.669121
1000,4,1.650466
1000,5,1.662828
1000,5,1.677623
1000,5,1.730873
1000,5,1.692987
1000,5,1.644548
1000,6,1.673802
1000,6,1.677950
1000,6,1.679361
1000,6,1.675369
1000,6,1.670290
1000,7,1.662062
1000,7,1.702183
1000,7,1.682282
1000,7,1.670718
1000,7,1.692943
1000,8,1.692549
1000,8,1.721004
1000,8,1.660851
1000,8,1.705770
1000,8,1.682951
1000,9,1.719270
1000,9,1.669045
1000,9,1.673372
1000,9,1.769126
1000,9,1.681933
1000,10,1.677924
1000,10,1.688779
1000,10,1.729212
1000,10,1.766125
1000,10,1.738882
1000,11,1.679025
1000,11,1.772541
1000,11,1.676496
1000,11,1.729686
1000,11,1.766164
1000,12,1.694504
1000,12,1.711099
1000,12,1.690659
1000,12,1.743706
1000,12,1.817437
1000,13,1.742898
1000,13,1.675991
1000,13,1.711287
1000,13,1.696183
1000,13,1.754994
1000,14,1.742837
1000,14,1.726059
1000,14,1.696640
1000,14,1.751296
1000,14,1.707461
1000,15,1.704691
1000,15,1.686512
1000,15,1.739569
1000,15,1.724602
1000,15,1.727819
1000,16,1.825446
1000,16,1.757190
1000,16,1.758185
1000,16,1.761739
1000,16,1.814466
1000,17,1.760624
1000,17,1.750223
1000,17,1.704592
1000,17,1.718045
1000,17,1.762227
1000,18,1.754656
1000,18,1.736979
1000,18,1.761002
1000,18,1.783392
1000,18,1.750449
1000,19,1.763299
1000,19,1.790758
1000,19,1.725236
1000,19,1.726115
1000,19,1.789260
1000,20,1.780322
1000,20,1.784715
1000,20,1.795429
1000,20,1.772626
1000,20,1.834483
1000,21,1.798404
1000,21,1.786213
1000,21,1.721850
1000,21,1.819987
1000,21,1.739139
1000,22,1.823552
1000,22,1.830377
1000,22,1.796134
1000,22,1.790080
1000,22,1.772141
1000,23,1.767209
1000,23,1.753225
1000,23,1.817204
1000,23,1.790072
1000,23,1.853802
1000,24,1.775175
1000,24,1.878914
1000,24,1.861932
1000,24,1.745744
1000,24,1.907599
1000,25,2.705445
1000,25,3.007597
1000,25,2.579861
1000,25,2.946112
1000,25,2.942346
1000,26,3.251269
1000,26,3.140427
1000,26,3.094274
1000,26,3.183828
1000,26,2.452782
1000,27,2.802989
1000,27,2.910207
1000,27,2.862722
1000,27,3.224694
1000,27,2.283760
1000,28,2.006439
1000,28,2.941313
1000,28,3.522644
1000,28,2.971670
1000,28,2.942783
1000,29,3.072673
1000,29,2.859548
1000,29,3.024970
1000,29,3.086768
1000,29,3.248845
1000,30,3.159851
1000,30,2.778909
1000,30,3.010872
1000,30,2.323606
1000,30,2.188274
1000,31,3.048917
1000,31,3.182710
1000,31,3.337174
1000,31,3.280047
1000,31,3.231076
1000,32,2.095141
1000,32,3.173472
1000,32,2.674049
1000,32,3.425529
1000,32,2.852850
1000,33,3.249749
1000,33,3.382722
1000,33,2.994137
1000,33,2.320505
1000,33,4.628109
1000,34,3.322803
1000,34,3.330765
1000,34,3.719896
1000,34,3.295685
1000,34,1.763036
1000,35,3.232597
1000,35,3.435469
1000,35,3.297856
1000,35,2.787235
1000,35,2.235963
1000,36,3.170956
1000,36,2.584671
1000,36,2.638418
1000,36,2.647724
1000,36,3.401114
1000,37,4.202727
1000,37,3.042528
1000,37,3.037231
1000,37,3.272763
1000,37,2.589446
1000,38,2.702687
1000,38,3.126060
1000,38,2.024716
1000,38,2.670266
1000,38,3.185265
1000,39,2.995176
1000,39,2.505349
1000,39,3.069517
1000,39,3.119341
1000,39,2.967191
1000,40,3.220529
1000,40,3.414595
1000,40,3.682856
1000,40,3.019272
1000,40,2.988060
1000,41,3.893247
1000,41,3.004067
1000,41,2.993750
1000,41,2.989857
1000,41,3.009902
1000,42,3.268813
1000,42,2.998711
1000,42,2.780357
1000,42,2.475647
1000,42,3.027176
1000,43,2.155780
1000,43,3.014258
1000,43,2.834013
1000,43,3.167405
1000,43,2.917076
1000,44,2.379749
1000,44,2.054817
1000,44,3.117920
1000,44,3.109320
1000,44,3.135919
1000,45,2.534775
1000,45,2.452848
1000,45,3.079086
1000,45,3.050620
1000,45,1.894899
1000,46,2.638216
1000,46,2.919051
1000,46,3.038056
1000,46,3.097842
1000,46,2.198141
1000,47,3.379673
1000,47,2.699676
1000,47,3.136753
1000,47,3.542040
1000,47,3.045908
1000,48,2.950145
1000,48,2.565996
1000,48,3.422678
1000,48,2.944027
1000,48,3.238687
